Day,Morning Routine (08:00-08:30),Focused Study Session 1 (08:30-10:00),Break (10:00-10:15),Focused Study Session 2 (10:15-11:45),Break (11:45-12:00),Lunch (12:00-13:00),Rest Period (13:00-13:30),Focused Study Session 3 (13:30-15:00),Break (15:00-15:15),Focused Study Session 4 (15:15-16:45),Break (16:45-17:00),Focused Study Session 5 (17:00-18:30),Dinner Break (18:30-19:00),Review & Planning (19:00-20:00)
December 9,Light exercise and breakfast,Watch Udemy lessons: Setup & Basics,Short walk or light stretching,Create a Basic Scene,Quick snack and rest,Balanced meal with vegetables and proteins,Light activity or short nap,Recap Learning,Relaxing activity,Testing line,Stretching or walk,Review AI Integration,Light meal,Reflect and plan next steps
December 10,Light exercise and breakfast,Watch Udemy lessons: Setup & Basics,Short walk or light stretching,Create a Basic Scene,Quick snack and rest,Balanced meal with vegetables and proteins,Light activity or short nap,Recap Learning,Relaxing activity,Create a Basic Scene,Stretching or walk,Experiment with Inputs,Light meal,Reflect and plan next steps
December 11,Light exercise and breakfast,Watch Udemy lessons: Asset Loading,Short walk or light stretching,Practice Moving an Object,Quick snack and rest,Balanced meal with vegetables and proteins,Light activity or short nap,Write Down Questions,Relaxing activity,Practice Moving an Object,Stretching or walk,Finalize Adjustments,Light meal,Reflect and plan next steps
December 12,Light exercise and breakfast,Watch Udemy lessons: Basics Recap,Short walk or light stretching,Set Up a Canvas,Quick snack and rest,Balanced meal with vegetables and proteins,Light activity or short nap,Play with Code Tweaks,Relaxing activity,Set Up a Canvas,Stretching or walk,Plan Next Steps,Light meal,Reflect and plan next steps
December 13,Light exercise and breakfast,Watch Udemy lessons: Physics,Short walk or light stretching,Build Object Interactions,Quick snack and rest,Balanced meal with vegetables and proteins,Light activity or short nap,Experiment with Inputs,Relaxing activity,Build Object Interactions,Stretching or walk,Experiment with Player Stats,Light meal,Reflect and plan next steps
December 14,Light exercise and breakfast,Watch Udemy lessons: Inputs,Short walk or light stretching,Experiment with Stats,Quick snack and rest,Balanced meal with vegetables and proteins,Light activity or short nap,Review Object Interactions,Relaxing activity,Experiment with Stats,Stretching or walk,Review AI with Stats,Light meal,Reflect and plan next steps
December 15,Light exercise and breakfast,Watch Udemy lessons: Animations,Short walk or light stretching,Create a Kicking Action,Quick snack and rest,Balanced meal with vegetables and proteins,Light activity or short nap,Experiment with Kicking Logic,Relaxing activity,Create a Kicking Action,Stretching or walk,Prepare AI Prototypes,Light meal,Reflect and plan next steps
December 16,Light exercise and breakfast,Explore Phaser Simple Soccer,Short walk or light stretching,Implement Random AI Movement,Quick snack and rest,Balanced meal with vegetables and proteins,Light activity or short nap,Review AI Integration,Relaxing activity,Implement Random AI Movement,Stretching or walk,Finalize Mechanics,Light meal,Reflect and plan next steps
December 17,Light exercise and breakfast,Explore State Patterns for AI,Short walk or light stretching,Experiment with Player Stats,Quick snack and rest,Balanced meal with vegetables and proteins,Light activity or short nap,Test State Patterns,Relaxing activity,Experiment with Player Stats,Stretching or walk,Review Scoring Logic,Light meal,Reflect and plan next steps
December 18,Light exercise and breakfast,Implement Basic AI Movement,Short walk or light stretching,Add Field Movement to AI,Quick snack and rest,Balanced meal with vegetables and proteins,Light activity or short nap,Review AI with Stats,Relaxing activity,Add Field Movement to AI,Stretching or walk,Review AI Integration,Light meal,Reflect and plan next steps
December 19,Light exercise and breakfast,Adjust AI with Player Stats,Short walk or light stretching,Finalize AI Adjustments,Quick snack and rest,Balanced meal with vegetables and proteins,Light activity or short nap,Refine Player Stats,Relaxing activity,Finalize AI Adjustments,Stretching or walk,Refine Mechanics,Light meal,Reflect and plan next steps
December 20,Light exercise and breakfast,Refine Mechanics,Short walk or light stretching,Test Basic Prototypes,Quick snack and rest,Balanced meal with vegetables and proteins,Light activity or short nap,Review Game Flow,Relaxing activity,Test Basic Prototypes,Stretching or walk,Finalize AI Adjustments,Light meal,Reflect and plan next steps
December 21,Light exercise and breakfast,Review Scoring Logic,Short walk or light stretching,Finalize Scoring,Quick snack and rest,Balanced meal with vegetables and proteins,Light activity or short nap,Test Scoring Logic,Relaxing activity,Finalize Scoring,Stretching or walk,Test Game Prototype,Light meal,Reflect and plan next steps
December 22,Light exercise and breakfast,Prepare AI Prototypes,Short walk or light stretching,Integrate AI Actions,Quick snack and rest,Balanced meal with vegetables and proteins,Light activity or short nap,Test Advanced AI,Relaxing activity,Integrate AI Actions,Stretching or walk,Prepare Next Steps,Light meal,Reflect and plan next steps
December 23,Light exercise and breakfast,Refine AI Features,Short walk or light stretching,Test Game Prototype,Quick snack and rest,Balanced meal with vegetables and proteins,Light activity or short nap,Plan AI Refinements,Relaxing activity,Test Game Prototype,Stretching or walk,Finalize AI Features,Light meal,Reflect and plan next steps
December 24,Light exercise and breakfast,Plan Next Steps,Short walk or light stretching,Consolidate Learning,Quick snack and rest,Balanced meal with vegetables and proteins,Light activity or short nap,Plan Game Features,Relaxing activity,Consolidate Learning,Stretching or walk,Test State Patterns,Light meal,Reflect and plan next steps
